Identifiant;Nom;Adresse;Localisation;Code postal;Code INSEE;Commune;Code catégorie;Sous-Catégorie;Source;Date d’installation;Descriptif;Téléphone;Lien;Ouverture;Capacité;Capacité (valeur);Conditions;Exploitant;Modèle de station;Lignes de transport en commun;Géométrie
34445;Station biclooPlus Préfecture (n°1);Quai Ceineray;6, quai Ceineray;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;28 places;28;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.554083806863555, 47.220255182523765]}"
34471;Station biclooPlus Guist'hau Nord (n°27);Boulevard Gabriel Guist'Hau;42, boulevard Gabriel Guist'Hau;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;26 - 54 - C6;"{""type"": ""Point"", ""coordinates"": [-1.569171883441585, 47.21792981580346]}"
34473;Station biclooPlus Duguay Trouin (n°29);Cours Franklin Roosevelt;7, allée Duguay Trouin;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;27 places;27;ABONNEMENT TICKET;JCDecaux;;NA;"{""type"": ""Point"", ""coordinates"": [-1.557681000391295, 47.212726999095466]}"
34478;Station biclooPlus Jean V (n°35);Rue Athénas;Place Jean V;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.5649728762034192, 47.212368561748875]}"
34480;Station biclooPlus Félix Éboué (n°37);Rue Gaston Veil;1, allée de l'Île Gloriette;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;27 places;27;ABONNEMENT TICKET;JCDecaux;;11 - LO;"{""type"": ""Point"", ""coordinates"": [-1.556824537618263, 47.211465062653794]}"
34491;Station biclooPlus Verdun (n°48);Rue de Verdun;15, rue de Verdun;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;14 places;14;ABONNEMENT TICKET;JCDecaux;;11 - 12 - C1 - C6 - LC - LN;"{""type"": ""Point"", ""coordinates"": [-1.551849784673317, 47.21750537335024]}"
34493;Station biclooPlus Château (n°50);Rue des Etats;7, rue des Etats;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;16 places;16;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.5502262427954592, 47.215149694052165]}"
34495;Station biclooPlus Baco (n°52);Allée Baco;8, allée Baco;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;54 - C2 - C3 - LS;"{""type"": ""Point"", ""coordinates"": [-1.548750555144349, 47.21432752407979]}"
34498;Station biclooPlus Magellan (n°55);Rue de Belfort;11, rue de Belfort;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;17 places;17;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.544298470702128, 47.21078140551884]}"
34507;Station biclooPlus Saint Clément (n°64);Rue Guibourd de Luzinais;24, rue du Maréchal Joffre;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;C1 - LN;"{""type"": ""Point"", ""coordinates"": [-1.547099233293921, 47.221785182197024]}"
34512;Station biclooPlus Manufacture (n°69);Boulevard de Stalingrad;11 bis, boulevard Stalingrad;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.535847443245216, 47.2192163793516]}"
34513;Station biclooPlus Gare De Nantes Sud (n°70);Quai Malakoff;Quai de Malakoff - Canal Saint-Félix;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;70 places;70;ABONNEMENT TICKET;JCDecaux;;5 - 54 - C2 - C3 - C5 - LS - NA;"{""type"": ""Point"", ""coordinates"": [-1.5428439995795311, 47.21550499904649]}"
